target_id	length	eff_length	est_counts	tpm
ENST00000373020	2206	2034.24	0	0
ENST00000612152	3796	3624.24	528.119	6.29148
ENST00000614008	900	728.245	5.88148	0.348697
ENST00000373031	1339	1167.24	0	0
ENST00000371582	1161	989.245	0	0
ENST00000371584	1073	901.245	50	2.39534
ENST00000371588	1075	903.245	0	0
ENST00000413082	672	500.245	0	0
ENST00000367770	2916	2744.24	0	0
ENST00000367771	6364	6192.24	37688.5	262.785
ENST00000367772	3090	2918.24	21.0689	0.311716
ENST00000423670	2077	1905.24	0	0
ENST00000286031	4355	4183.24	0	0
ENST00000359326	4002	3830.24	4347.07	49.0014
ENST00000413811	2661	2489.24	0	0
ENST00000374003	2021	1849.24	0	0
ENST00000374004	2350	2178.24	0	0
ENST00000374005	2729	2557.24	0	0
ENST00000399173	2483	2311.24	0	0
ENST00000457296	1104	932.245	0	0
ENST00000359637	1454	1282.24	0	0
ENST00000367429	4127	3955.24	332.963	3.63464
ENST00000630130	1658	1486.24	0	0
ENST00000002165	2356	2184.24	0	0
ENST00000451668	737	565.245	0	0
ENST00000229416	3813	3641.24	0	0
ENST00000505197	592	420.245	237	24.3492
ENST00000513939	519	347.245	0	0
ENST00000514004	2356	2184.24	2086	41.2337
ENST00000514373	329	157.245	0	0
ENST00000514933	542	370.245	0	0
ENST00000616923	3694	3522.24	0	0
ENST00000341376	3811	3639.24	0	0
ENST00000353205	1660	1488.24	114	3.30727
ENST00000003583	2544	2372.24	0	0
ENST00000337248	2715	2543.24	0	0
ENST00000374409	2804	2632.24	0	0
ENST00000435187	772	600.245	0	0
ENST00000438866	811	639.245	0	0
ENST00000003912	5481	5309.24	0	0
ENST00000339255	1676	1504.24	0	0
ENST00000358028	1757	1585.24	148	4.03092
ENST00000374399	1711	1539.24	0	0
ENST00000432012	2714	2542.24	212	3.60046
ENST00000374804	2261	2089.24	0	0
ENST00000374807	2386	2214.24	0	0
ENST00000374811	2439	2267.24	0	0
ENST00000469091	447	275.245	0	0
ENST00000321037	4651	4479.24	0	0
ENST00000002829	3802	3630.24	687	8.17071
ENST00000413852	3212	3040.24	0	0
ENST00000414301	936	764.245	0	0
ENST00000420831	442	270.245	0	0
ENST00000426511	757	585.245	0	0
ENST00000434342	3541	3369.24	0	0
ENST00000450338	1693	1521.24	0	0
ENST00000003084	6132	5960.24	0	0
ENST00000426809	4316	4144.24	0	0
ENST00000446805	575	403.245	0	0
ENST00000468795	682	510.245	0	0
ENST00000600166	559	387.245	0	0
ENST00000265742	6081	5909.24	0	0
ENST00000442183	547	375.245	38	4.37228
ENST00000003100	3210	3038.24	0	0
ENST00000422867	747	575.245	0	0
ENST00000435873	556	384.245	0	0
ENST00000450723	1729	1557.24	301	8.34543
ENST00000340022	4553	4381.24	0	0
ENST00000394503	2827	2655.24	169.651	2.75861
ENST00000394505	3143	2971.24	0	0
ENST00000394507	4762	4590.24	111.638	1.05006
ENST00000412043	3378	3206.24	0	0
ENST00000413688	551	379.245	0	0
ENST00000422347	483	311.245	0	0
ENST00000425073	546	374.245	0	0
ENST00000425919	572	400.245	46.1843	4.98204
ENST00000430102	702	530.245	0	0
ENST00000433016	855	683.245	0	0
ENST00000440209	557	385.245	0	0
ENST00000444960	783	611.245	0	0
ENST00000445516	561	389.245	0	0
ENST00000452773	665	493.245	0	0
ENST00000454017	978	806.245	0	0
ENST00000458177	1472	1300.24	42.6926	1.41764
ENST00000458493	507	335.245	0	0
ENST00000611677	3056	2884.24	286.834	4.29377
ENST00000358495	2710	2538.24	2056.74	34.9853
ENST00000397230	530	358.245	132.26	15.94
ENST00000430095	2366	2194.24	0	0
ENST00000536177	1139	967.245	0	0
ENST00000539046	1530	1358.24	0	0
ENST00000541619	560	388.245	0	0
ENST00000542785	633	461.245	0	0
ENST00000544742	463	291.245	0	0
ENST00000545564	681	509.245	0	0
ENST00000309032	929	757.245	0	0
ENST00000394531	631	459.245	0	0
ENST00000394532	1157	985.245	0	0
ENST00000492141	359	187.245	0	0
ENST00000493798	325	153.245	0	0
ENST00000544785	525	353.245	0	0
ENST00000226299	2213	2041.24	0	0
ENST00000513105	626	454.245	0	0
ENST00000606142	1876	1704.24	0	0
ENST00000618908	2100	1928.24	0	0
ENST00000381180	530	358.245	0	0
ENST00000381184	918	746.245	0	0
ENST00000381187	892	720.245	0	0
ENST00000381192	1245	1073.24	0	0
ENST00000449611	604	432.245	0	0
ENST00000611428	1243	1071.24	0	0
ENST00000624481	1089	917.245	0	0
ENST00000002596	8031	7859.24	6.20288	0.0340762
ENST00000510712	496	324.245	274.802	36.592
ENST00000514690	491	319.245	0	0
ENST00000360937	2649	2477.24	282.648	4.92625
ENST00000416793	2453	2281.24	5.35161	0.101287
ENST00000460213	945	773.245	0	0
ENST00000467291	2857	2685.24	0	0
ENST00000483043	1314	1142.24	0	0
ENST00000493429	3135	2963.24	0	0
ENST00000619575	2366	2194.24	0	0
ENST00000622116	2435	2263.24	0	0
ENST00000222462	3147	2975.24	0	0
ENST00000361301	1230	1058.24	0	0
ENST00000395891	9501	9329.24	0	0
ENST00000429529	415	243.245	251.709	44.6781
ENST00000453890	5169	4997.24	69.2909	0.598666
ENST00000265854	2718	2546.24	0	0
ENST00000399654	2762	2590.24	0	0
ENST00000402746	2355	2183.24	0	0
ENST00000406869	2991	2819.24	0	0
ENST00000421113	564	392.245	0	0
ENST00000429625	750	578.245	0	0
ENST00000429779	555	383.245	0	0
ENST00000437877	864	692.245	0	0
ENST00000438959	839	667.245	0	0
ENST00000444373	535	363.245	0	0
ENST00000445959	831	659.245	0	0
ENST00000450235	850	678.245	0	0
ENST00000455998	557	385.245	0	0
ENST00000318008	4109	3937.24	0	0
ENST00000419929	762	590.245	0	0
ENST00000433206	4023	3851.24	0	0
ENST00000435347	3492	3320.24	0	0
ENST00000579123	1874	1702.24	0	0
ENST00000359238	2315	2143.24	0	0
ENST00000393405	2733	2561.24	0	0
ENST00000452859	1601	1429.24	0	0
ENST00000580219	1200	1028.24	0	0
ENST00000581298	563	391.245	0	0
ENST00000582104	1282	1110.24	0	0
ENST00000582481	627	455.245	595.206	56.4497
ENST00000584335	922	750.245	8.79424	0.506098
ENST00000004103	1261	1089.24	0	0
ENST00000461345	635	463.245	2.74208	0.255569
ENST00000468689	469	297.245	62.2579	9.04315
ENST00000475536	827	655.245	0	0
ENST00000484928	1530	1358.24	0	0
ENST00000000412	2756	2584.24	0	0
ENST00000536844	2305	2133.24	0	0
ENST00000537621	581	409.245	0	0
ENST00000539143	650	478.245	0	0
